symbol,fee symbol,show name,chain name,contract address
ADA,ADA,ADA,Cardano-Byron,
ALEO,ALEO,ALEO,ALEO,
ARCC,ALGO,ARCC,Algorand,163650
USDMESE,ALGO,USDMESE,Algorand,438828
MESX,ALGO,MESX,Algorand,438831
MMSFT,ALGO,MMSFT,Algorand,438832
MAMZN,ALGO,MAMZN,Algorand,438833
MTWTR,ALGO,MTWTR,Algorand,438836
MNFLX,ALGO,MNFLX,Algorand,438837
MGOOGL,ALGO,MGOOGL,Algorand,438838
MAAPL,ALGO,MAAPL,Algorand,438839
MTSLA,ALGO,MTSLA,Algorand,438840
ALGO,ALGO,Algorand,Algorand,
CAKEAPT,APTOS,CAKE,Aptos,0x159df6b7689437016108a019fd5bef736bac692b6d4a1f10c941f6fbb9a74ca6::oft::CakeOFT
USDCAPT,APTOS,USDC,Aptos,0xbae207659db88bea0cbead6da0ed00aac12edcdda169e591cd41c94180b46f3b
USDTAPT,APTOS,Tether USD,Aptos,0x357b0b74bc833e95a115ad22604854d6b0fca151cecd94111770e5d6ffc9dc2b
APTOS,APTOS,APTOS,Aptos,
ARBITRUM,ARBITRUM,Arbitrum,Arbitrum One,
ARBITRUMONE,ARBITRUM,Arbitrum,Arbitrum One,0x912CE59144191C1204E64559FE8253a0e49E6548
GMX,ARBITRUM,GMX,Arbitrum One,0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a
NOVATRADE,ARBITRUM,NOVATRADE,Arbitrum One,0x3c4A270E3c6F59c01C912DD8061489a3C8af8831
TT-ARB,ARBITRUM,TT,Arbitrum One,0x0ae1BB2BC04308765a6B1215236Cea8cfEE8Cab9
MAKA,ARBITRUM,MAKA,Arbitrum One,0xcc1E0F8481782F6f229BE7690D62d2aEcbf2a657
USDTARB,ARBITRUM,USDTARB,Arbitrum One,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9
SQL,ARBITRUM,SQL,Arbitrum One,0x1599DF8f0D91f40017E0A46874c740E6b2531A2e
BGT,ARBITRUM,BGT,Arbitrum One,0x45F6A3e1FCdb24C3E5097324872A8F5cf4602d48
XPET,ARBITRUM,XPET,Arbitrum One,0x00cbcf7b3d37844e44b888bc747bdd75fcf4e555
BPET,ARBITRUM,BPET,Arbitrum One,0x6daf586b7370b14163171544fca24abcc0862ac5
AVIVE,ARBITRUM,AVIVE,Arbitrum One,0x5117f4Ad0bc70Dbb3B05bF39A1EC1Ee40DD67654
DOGEADV,ARBITRUM,Doge Adventures Coin,Arbitrum One,0x8Ff52C608e801803C7758717087D34DEcDd0935d
TPYARB,ARBITRUM,Thrupenny,Arbitrum One,0xa279301414012c53bc7b7a21788d33e244efbecc
XAI,ARBITRUM,XAI,ARBITRUM,0x4Cb9a7AE498CEDcBb5EAe9f25736aE7d428C9D66
RDNTARB,ARBITRUM,Radiant,Arbitrum One,0x3082CC23568eA640225c2467653dB90e9250AaA0
MAGIC,ARBITRUM,MAGIC,Arbitrum One,0x539bdE0d7Dbd336b79148AA742883198BBF60342
MATICARB,ARBITRUM,MATICARB,Arbitrum One,0x561877b6b3DD7651313794e5F2894B2F18bE0766
GRT2,ARBITRUM,GRT2,ARBITRUM,0x9623063377AD1B27544C965cCd7342f7EA7e88C7
STG2,ARBITRUM,STG2,ARBITRUM,0x6694340fc020c5E6B96567843da2df01b2CE1eb6
USDC7,ARBITRUM,USD Coin,Arbitrum One,0xaf88d065e77c8cC2239327C5EDb3A432268e5831
PENDLEARB,ARBITRUM,PENDLEARB,Arbitrum One,0x0c880f6761F1af8d9Aa9C466984b80DAb9a8c9e8
